subject,cond,roi,chi_sp,chi_sp_r2
P38,INHIB,cacc,0.8662208165289561,
P38,INHIB,frontal,0.5503928762881739,
P38,INHIB,lh,0.5322210350544659,
P38,INHIB,rh,0.46724110127179846,
P38,INIT,cacc,0.7664426124388986,
P38,INIT,frontal,0.6183927135479442,
P38,INIT,lh,0.5385179791924483,
P38,INIT,rh,0.569057805377659,
P39,INHIB,cacc,0.72935590132697,
P39,INHIB,frontal,0.7604390114944737,
P39,INHIB,lh,0.5760514641980778,
P39,INHIB,rh,0.6764748078501852,
P39,INIT,cacc,0.6281066097214687,
P39,INIT,frontal,0.9118723347970537,
P39,INIT,lh,1.035101516924431,
P39,INIT,rh,0.6532855061122057,
P40,INHIB,cacc,0.86628500148539,
P40,INHIB,frontal,0.8218062314620065,
P40,INHIB,lh,0.4349947061100683,
P40,INHIB,rh,0.3834490393762313,
P40,INIT,cacc,1.0005335783737965,
P40,INIT,frontal,1.124453584355794,
P40,INIT,lh,0.5682105915277545,
P40,INIT,rh,0.7277387667707012,
P41,INHIB,cacc,1.1053489342412266,
P41,INHIB,frontal,1.901871065507647,
P41,INHIB,lh,1.1919124524944142,
P41,INHIB,rh,0.6581820221088699,
P41,INIT,cacc,0.6887939768496495,
P41,INIT,frontal,1.5597539837779366,
P41,INIT,lh,1.1685584003164189,
P41,INIT,rh,0.962169689495269,
P42,INHIB,cacc,0.9275634185997818,
P42,INHIB,frontal,1.1545020984194776,
P42,INHIB,lh,0.4045248908359282,
P42,INHIB,rh,0.44727555731366125,
P42,INIT,cacc,0.8721148621589985,
P42,INIT,frontal,0.8240437728063408,
P42,INIT,lh,0.7287508288341613,
P42,INIT,rh,0.46277400148960574,
P43,INHIB,cacc,0.9702862221653522,
P43,INHIB,frontal,1.351051521397904,
P43,INHIB,lh,0.927707455666302,
P43,INHIB,rh,0.8611330086383712,
P43,INIT,cacc,0.8481958338187178,
P43,INIT,frontal,1.383304831996659,
P43,INIT,lh,0.8205049200005412,
P43,INIT,rh,0.9711048846084464,
P44,INHIB,cacc,0.7023372318346314,
P44,INHIB,frontal,0.5953348380561445,
P44,INHIB,lh,0.44677556721023914,
P44,INHIB,rh,0.369722143519994,
P44,INIT,cacc,0.7550638457571055,
P44,INIT,frontal,0.9885951220653106,
P44,INIT,lh,0.44721519073157323,
P44,INIT,rh,0.6541496224572774,
P45,INHIB,cacc,0.8173402414828141,
P45,INHIB,frontal,1.4268994389654528,
P45,INHIB,lh,1.1179325208681732,
P45,INHIB,rh,1.1161205509802894,
P45,INIT,cacc,0.8520300998274215,
P45,INIT,frontal,1.798202592011425,
P45,INIT,lh,1.182869500033037,
P45,INIT,rh,1.0472687744796745,
P46,INHIB,cacc,0.0006662392478680376,
P46,INHIB,frontal,0.612879597320547,
P46,INHIB,lh,-0.027858783503788405,
P46,INHIB,rh,-0.0317747589784205,
P46,INIT,cacc,0.06642749556311542,
P46,INIT,frontal,0.8323252195331128,
P46,INIT,lh,-0.03586964786948398,
P46,INIT,rh,-0.025375658287007538,
P47,INHIB,cacc,1.1540840684798936,
P47,INHIB,frontal,1.066495994231732,
P47,INHIB,lh,1.3860518075746424,
P47,INHIB,rh,1.3035075281154116,
P47,INIT,cacc,0.9620926856661571,
P47,INIT,frontal,1.5366256024591203,
P47,INIT,lh,1.5599141100891298,
P47,INIT,rh,1.0755303923219333,
P48,INHIB,cacc,1.0812018529469192,
P48,INHIB,frontal,1.7291146044667798,
P48,INHIB,lh,1.1391503614704308,
P48,INHIB,rh,0.3066782736790248,
P48,INIT,cacc,0.8968462745143547,
P48,INIT,frontal,1.9519582957842605,
P48,INIT,lh,0.8810670218430845,
P48,INIT,rh,0.9424239017442964,
P49,INHIB,cacc,0.8108226317025718,
P49,INHIB,frontal,0.484336929261214,
P49,INHIB,lh,0.5913385377240011,
P49,INHIB,rh,0.9528211426988094,
P49,INIT,cacc,0.871445929923642,
P49,INIT,frontal,0.9980881403437392,
P49,INIT,lh,0.4735907457483074,
P49,INIT,rh,0.5751620715129954,
P50,INHIB,cacc,0.9340410901722735,
P50,INHIB,frontal,1.6757120475866198,
P50,INHIB,lh,0.7764040823775517,
P50,INHIB,rh,0.5686466729182387,
P50,INIT,cacc,1.1734781537264403,
P50,INIT,frontal,1.225056580340979,
P50,INIT,lh,0.45170750728660736,
P50,INIT,rh,0.7439683057322262,
P6,INHIB,cacc,0.6610235099060615,
P6,INHIB,frontal,0.3769660958565918,
P6,INHIB,lh,0.5232436858642251,
P6,INHIB,rh,0.40932374645533,
P6,INIT,cacc,0.702659001856756,
P6,INIT,frontal,0.4391077940878757,
P6,INIT,lh,0.6100197920383857,
P6,INIT,rh,0.4561209712920592,
P7,INHIB,cacc,1.3878140751353176,
