subject,ais_resid,ais_raw,amp_n450,chi_ols,resid_var,chi_sp
P43,-0.0029429905022818614,-0.002395263686179483,2.356859661486036e-06,0.06436646033962168,-1.3553205919018572e-12,0.032253310598755025
P44,0.10470626888991574,0.28269106410185185,5.0658036454699324e-06,0.38648005915978434,1.3049025515002099e-11,0.39326028400916613
P45,0.09089657121910721,0.024213172838702723,6.384362106620163e-06,0.18817932191660391,2.043931621621023e-12,0.3713031530459723
P46,0.06430572540739932,0.110228537686615,-2.0953796232786838e-07,0.17913040764749405,5.8494077056131104e-12,0.2194456222125658
P47,0.11147428636148826,0.06742021845995705,2.9812081949795278e-06,-0.0048055756930418525,1.0306135746250899e-11,0.4701296082273885
P48,0.13017114094029747,0.31542486243829204,5.001389905439194e-06,0.1762467676395425,1.2854240688281693e-11,0.22284369131748072
P49,0.11508283500403216,0.05385509105405517,2.125116088239753e-06,0.17344866071843246,1.3541144820240065e-12,0.5137512110825251
P50,0.042104433563506016,0.15798016488548505,3.2182987938975978e-06,0.03155641208935234,-3.784004778474993e-12,-0.4506554672456409
P6,0.014829126496538891,-0.013803956956464303,-1.129401312297312e-06,-0.024034887916602243,1.2918727437816954e-12,0.062141698231283904
P7,0.0820717443616491,0.19984689533912747,4.2590882280582035e-06,0.7015667526281171,6.363476198188082e-12,0.625192500001486
P8,0.0002012382827476511,-0.03493567988105262,4.595481381629108e-07,-0.026935370683871862,2.79345716490977e-13,-0.1568829245860715
P9,0.10020772399273148,0.14139479566348157,6.1819631558530246e-06,0.3885616923024804,2.3366438676629797e-12,0.38438267298727286
